"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","","0"
"0","Bookstore","0","Gestão de Livros","1","0","Adicionar novo livro com sucesso","0"
